test_id,number,started,eqs_found,verified,unverified,faulty,unknown,took_time_s,has_rsr
01_identity,1,False,0,0,0,0,0,4.59,0
02_exp,2,False,0,7,0,0,0,6.27,1
03_exp_minus_one,3,False,0,3,0,0,0,4.73,1
04_exp_div_by_x,4,False,0,5,0,0,0,9.52,1
05_exp_div_by_x_composite,5,False,0,8,0,0,0,6.03,1
06_floudas,6,False,0,10,0,0,0,2.62,1
07_mean,7,False,0,5,0,0,0,5.16,1
08_tan,8,False,0,7,1,0,0,22.09,1
09_cot,9,False,0,5,2,0,0,15.7,1
10_diff_squares,10,False,0,5,0,0,0,3.81,1
11_inverse_square,11,False,0,5,0,0,0,3.58,1
12_inverse,12,False,0,3,0,0,0,3.88,1
13_inverse_add,13,False,0,5,0,0,0,14.21,1
14_inverse_cot_plus_one,14,False,0,4,1,0,0,35.5,1
15_inverse_tan_plus_one,15,False,0,4,1,0,0,39.49,1
16_x_over_one_minus_x,16,False,0,3,0,0,0,5.89,1
17_minus_x_over_one_minus_x,17,False,0,6,0,0,0,13.55,1
18_cos,18,False,0,5,0,0,0,3.86,1
19_cosh,19,False,0,0,0,0,0,3.74,0
20_squared,20,False,0,4,0,0,0,5.1,1
21_sin,21,False,0,2,0,0,0,3.63,1
22_sinh,22,False,0,6,0,0,0,8.25,1
23_cube,23,False,0,0,0,0,0,2.6,0
24_log,24,False,0,6,0,0,0,3.43,1
25_sec,25,False,0,5,0,0,0,13.75,1
26_csc,26,False,0,6,0,0,0,3.86,1
27_sinc,27,False,0,4,1,0,0,7.08,1
28_sinc_composite,28,False,0,6,0,0,0,5.43,1
29_mod,29,False,0,6,1,0,0,15.67,1
30_mod_mult,30,False,0,2,4,0,0,9.56,1
31_int_mult,31,False,0,8,0,0,0,3.13,1
32_tanh,32,False,0,4,2,0,0,5.39,1
33_sigmoid,33,False,0,3,0,0,0,21.66,1
34_softmax2_1,34,False,0,5,0,0,0,8.81,1
35_softmax2_2,35,False,0,8,0,0,0,7.73,1
36_logistic,36,False,0,3,0,0,0,3.19,1
37_logistic_scaled,37,False,0,5,0,0,0,9.34,1
38_square_loss,38,False,0,4,0,0,0,4.03,1
39_savage_loss_library,39,False,0,5,0,0,0,23.58,1
40_savage_loss_basis,40,False,0,4,0,0,0,15.41,1
41_arcsin,41,False,0,2,0,0,0,5.99,1
42_arccos,42,False,0,8,4,0,0,15.27,1
43_arctan,43,False,0,3,0,0,0,7.47,1
44_arcsinh,44,False,0,4,2,0,0,21.58,1
45_arccosh,45,False,0,1,1,0,0,13.95,1
46_arctanh,46,False,0,1,2,0,0,4.3,1
47_relu,47,False,0,1,4,0,0,8.33,1
48_leaky_relu,48,False,0,0,4,0,0,16.39,0
49_swish,49,False,0,2,2,0,0,48.58,1
50_gelu,50,False,0,2,0,0,0,12.95,1
51_log1p,51,False,0,4,0,0,0,48.27,1
52_logit,52,False,0,2,3,0,0,69.89,1
53_log2,53,False,0,6,0,0,0,3.48,1
54_sqrt,54,False,0,6,0,0,0,8.02,1
55_cbrt,55,False,0,5,0,0,0,26.07,1
56_x_to_x,56,False,0,0,2,0,0,9.52,0
57_floor,57,False,0,5,0,0,0,9.86,1
58_ceil,58,False,0,5,0,0,0,16.16,1
59_frac,59,False,0,0,0,0,0,10.08,0
60_erf,60,False,0,2,0,0,0,3.75,1
61_gamma,61,False,0,0,0,0,0,10.2,0
62_exp_sin,62,False,0,3,0,0,0,2.95,1
63_sin_exp,63,False,0,2,0,0,0,3.81,1
64_log_cos,64,False,0,5,0,0,0,2.9,1
65_sqrt_one_plus_x2,65,False,0,6,0,0,0,28.99,1
66_abs,66,False,0,5,0,0,0,4.52,1
67_sign,67,False,0,2,2,0,0,10.57,1
68_gudermannian,68,False,0,4,0,0,0,10.7,1
69_2_to_x,69,False,0,4,0,0,0,2.48,1
70_10_to_x,70,False,0,5,0,0,0,2.61,1
71_pade_1_1,71,True,0,3,0,0,0,4.63,1
72_pade_2_2,72,False,0,3,0,0,0,54.09,1
73_continued_fraction_golden,73,False,0,5,0,0,0,4.97,1
74_continued_fraction_tan,74,False,0,3,0,0,0,19.66,1
75_mobius_simple,75,False,0,3,0,0,0,7.34,1
76_mobius_inversion,76,False,0,5,0,0,0,5.1,1
77_mobius_cayley,77,False,0,5,0,0,0,10.41,1
78_exp_x2,78,False,0,4,0,0,0,2.98,1
79_exp_cos,79,False,0,4,0,0,0,4.14,1
80_fourth,80,False,0,4,0,0,0,2.83,1
