vtrace1;I f(x);I f(2*x);I f(x+r);I f(x-r);I f(r)
vtrace1;-5;-10;-2;-8;2
vtrace1;-1;-1;4;-5;4
vtrace1;0;1;1;-1;0
vtrace1;-3;-5;-1;-5;2
vtrace1;-3;-6;1;-7;4
vtrace1;2;4;2;1;0
vtrace1;-2;-3;-1;-2;0
vtrace1;3;7;2;5;-2
vtrace1;2;5;6;-2;4
vtrace1;1;2;-3;4;-4
vtrace1;-3;-6;-1;-6;2
vtrace1;0;1;-3;3;-3
vtrace1;4;8;4;4;0
vtrace1;0;1;0;1;-1
vtrace1;1;2;1;1;-1
vtrace1;2;4;-2;5;-4
vtrace1;0;0;-4;3;-4
vtrace1;3;7;6;0;3
vtrace1;-4;-8;-9;0;-5
vtrace1;4;9;8;0;4
vtrace1;0;1;3;-3;3
vtrace1;2;4;3;1;0
vtrace1;4;8;8;0;3
vtrace1;2;5;5;0;2
vtrace1;1;2;5;-3;4
vtrace1;-5;-9;-5;-4;-1
vtrace1;-1;-2;-4;2;-4
vtrace1;-4;-8;-5;-3;-1
vtrace1;-5;-9;-7;-3;-2
vtrace1;1;3;4;-2;3
